condition,comparison_name,dataset,comparison,metric,n,estimate,ci95,permutation_p_two_sided,holm_p_across_8_conditions
pkis2_gt90_scaffold,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_3,640,0.0,"[-0.009375, 0.009375]",1.0,1.0
pkis2_gt90_scaffold,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_5,640,0.015625,"[0.0, 0.03125]",0.07398926010739892,0.44393556064439355
pkis2_gt90_scaffold,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_10,640,0.015625,"[-0.00625, 0.0359375]",0.1948080519194808,0.974040259597404
pkis2_gt90_scaffold,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_20,640,0.0171875,"[-0.00625, 0.0421875]",0.21422785772142278,1.0
pkis2_gt90_standard,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,audc_1_20,640,0.006796874999999999,"[-0.001328125000000001, 0.014687499999999997]",0.1022889771102289,0.2632173678263217
pkis2_gt90_standard,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_1,640,0.0,"[0.0, 0.0]",1.0,1.0
pkis2_gt90_standard,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_3,640,0.01875,"[0.0, 0.0375]",0.08689913100868991,0.43449565504344956
pkis2_gt90_standard,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_5,640,0.009375,"[-0.009375, 0.028125]",0.4057659423405766,0.8926410735892641
pkis2_gt90_standard,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_10,640,-0.003125,"[-0.01875, 0.0125]",0.8457915420845792,1.0
pkis2_gt90_standard,bounded_minus_marginal,PKIS2,BOUNDED_COVERAGE - ORIGINAL_MARGINAL,hit_at_20,640,0.0078125,"[0.0, 0.0171875]",0.12415875841241587,0.7449525504744953
pkis2_gt90_standard,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,audc_1_20,640,0.021406249999999998,"[0.008125, 0.034765625]",0.0017099829001709984,0.011969880301196988
pkis2_gt90_standard,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_1,640,0.0,"[0.0, 0.0]",1.0,1.0
pkis2_gt90_standard,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_3,640,0.0078125,"[-0.0015625, 0.01875]",0.22952770472295278,1.0
pkis2_gt90_standard,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_5,640,0.0203125,"[0.0078125, 0.0328125]",0.0024699753002469975,0.01975980240197598
pkis2_gt90_standard,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_10,640,0.0234375,"[0.0046875, 0.04375]",0.02706972930270697,0.1894881051189488
pkis2_gt90_standard,bounded_minus_unbounded,PKIS2,BOUNDED_COVERAGE - ORIGINAL_COVERAGE,hit_at_20,640,0.028125,"[0.00625, 0.05]",0.013529864701352987,0.0947090529094709
